,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
313,1,27.05,-3.2889817,73.25,-2.9922909,73.25
314,1,27.0666667,-3.289003,73.25,-2.9934965,73.25
315,1,27.0833333,-3.2890244,73.25,-2.9947021,73.25
316,1,27.1,-3.2890458,73.25,-2.9959076,73.25
317,1,27.1166667,-3.2890671,73.25,-2.9971132,73.25
318,1,27.1333333,-3.2890885,73.25,-2.9983188,73.25
319,1,27.15,-3.2891098,73.25,-2.9995243,73.25
320,1,27.1666667,-3.2891312,73.25,-3.0007299,73.25
321,1,27.1833333,-3.2891526,73.25,-3.0019355,73.25
322,1,27.2,-3.2891739,73.25,-3.003141,73.25
323,1,27.2166667,-3.2891953,73.25,-3.0043466,73.25
324,1,27.2333333,-3.2892167,73.25,-3.0055522,73.25
325,1,27.25,-3.289238,73.25,-3.0067577,73.25
326,1,27.2666667,-3.2892594,73.25,-3.0079633,73.25
327,1,27.2833333,-3.2892807,73.25,-3.0091689,73.25
328,1,27.3,-3.2893021,73.25,-3.0103744,73.25
329,1,27.3166667,-3.2893235,73.25,-3.01158,73.25
330,1,27.3333333,-3.2893448,73.25,-3.0127855,73.25
331,1,27.35,-3.2893662,73.25,-3.0139911,73.25
332,1,27.3666667,-3.2893876,73.25,-3.0151967,73.25
333,1,27.3833333,-3.2894089,73.25,-3.0164022,73.25
334,1,27.4,-3.2894303,73.25,-3.0176078,73.25
335,1,27.4166667,-3.2894516,73.25,-3.0188134,73.25
336,1,27.4333333,-3.289473,73.25,-3.0200189,73.25
337,1,27.45,-3.2894944,73.25,-3.0212245,73.25
338,1,27.4666667,-3.2895157,73.25,-3.0224301,73.25
339,1,27.4833333,-3.2895371,73.25,-3.0236356,73.25
340,1,27.5,-3.2895584,73.25,-3.0248412,73.25
341,1,27.5166667,-3.2895798,73.25,-3.0260468,73.25
342,1,27.5333333,-3.2896012,73.25,-3.0272523,73.25
343,1,27.55,-3.2896225,73.25,-3.0284579,73.25
344,1,27.5666667,-3.2896439,73.25,-3.0296635,73.25
345,1,27.5833333,-3.2896653,73.25,-3.030869,73.25
346,1,27.6,-3.2896866,73.25,-3.0320746,73.25
347,1,27.6166667,-3.289708,73.25,-3.0332802,73.25
348,1,27.6333333,-3.2897293,73.25,-3.0344857,73.25
349,1,27.65,-3.2897507,73.25,-3.0356913,73.25
350,1,27.6666667,-3.2897721,73.25,-3.0368969,73.25
351,1,27.6833333,-3.2897934,73.25,-3.0381024,73.25
352,1,27.7,-3.2898148,73.25,-3.039308,73.25
353,1,27.7166667,-3.2898362,73.25,-3.0405135,73.25
354,1,27.7333333,-3.2898575,73.25,-3.0417191,73.25
355,1,27.75,-3.2898789,73.25,-3.0429247,73.25
356,1,27.7666667,-3.2903952,73.25,-3.0443323,73.25
357,1,27.7833333,-3.2909115,73.25,-3.0457399,73.25
358,1,27.8,-3.2914278,73.25,-3.0471474,73.25
359,1,27.8166667,-3.2919441,73.25,-3.048555,73.25
360,1,27.8333333,-3.2924604,73.25,-3.0499626,73.25
361,1,27.85,-3.2929767,73.25,-3.0513702,73.25
362,1,27.8666667,-3.2934931,73.25,-3.0527778,73.25
363,1,27.8833333,-3.2940094,73.25,-3.0541854,73.25
364,1,27.9,-3.2945257,73.25,-3.0555929,73.25
365,1,27.9166667,-3.295042,73.25,-3.0570005,73.25
366,1,27.9333333,-3.2955583,73.25,-3.0584081,73.25
367,1,27.95,-3.2960746,73.25,-3.0598157,73.25
368,1,27.9666667,-3.2965909,73.25,-3.0612233,73.25
369,1,27.9833333,-3.2971072,73.25,-3.0626309,73.25
370,1,28.0,-3.2976235,73.25,-3.0640385,73.25
371,1,28.0166667,-3.2981399,73.25,-3.065446,73.25
372,1,28.0333333,-3.2986562,73.25,-3.0668536,73.25
373,1,28.05,-3.2991725,73.25,-3.0682612,73.25
374,1,28.0666667,-3.2996888,73.25,-3.0696688,73.25
375,1,28.0833333,-3.3002051,73.25,-3.0710764,73.25
376,1,28.1,-3.3007214,73.25,-3.072484,73.25
377,1,28.1166667,-3.3012377,73.25,-3.0738916,73.25
378,1,28.1333333,-3.301754,73.25,-3.0752991,73.25
379,1,28.15,-3.3022703,73.25,-3.0767067,73.25
380,1,28.1666667,-3.3027867,73.25,-3.0781143,73.25
381,1,28.1833333,-3.303303,73.25,-3.0795219,73.25
382,1,28.2,-3.3038193,73.25,-3.0809295,73.25
383,1,28.2166667,-3.3043356,73.25,-3.0823371,73.25
384,1,28.2333333,-3.3048519,73.25,-3.0837447,73.25
385,1,28.25,-3.3053682,73.25,-3.0851522,73.25
386,1,28.2666667,-3.3058845,73.25,-3.0865598,73.25
387,1,28.2833333,-3.3064008,73.25,-3.0879674,73.25
