,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
253,1,38.9166667,-3.8803587,91.3333333,,-3.7874652,91.3333333
254,1,38.9333333,-3.8785613,91.3333333,,-3.7869535,91.3333333
255,1,38.95,-3.8767639,91.3333333,,-3.7864419,91.3333333
256,1,38.9666667,-3.8749665,91.3333333,,-3.7859302,91.3333333
257,1,38.9833333,-3.8731691,91.3333333,,-3.7854186,91.3333333
258,1,39.0,-3.8713717,91.3333333,,-3.7849069,91.3333333
259,1,39.0166667,-3.8695743,91.3333333,,-3.7843952,91.3333333
260,1,39.0333333,-3.8677769,91.3333333,,-3.7838836,91.3333333
261,1,39.05,-3.8659795,91.3333333,,-3.7833719,91.3333333
262,1,39.0666667,-3.8641821,91.3333333,,-3.7828603,91.3333333
263,1,39.0833333,-3.8623847,91.3333333,,-3.7823486,91.3333333
264,1,39.1,-3.8605873,91.3333333,,-3.781837,91.3333333
265,1,39.1166667,-3.8587899,91.3333333,,-3.7813253,91.3333333
266,1,39.1333333,-3.8569925,91.3333333,,-3.7808136,91.3333333
267,1,39.15,-3.8551951,91.3333333,,-3.780302,91.3333333
268,1,39.1666667,-3.8533977,91.3333333,,-3.7797903,91.3333333
269,1,39.1833333,-3.8518365,91.3333333,,-3.7792314,91.3333333
270,1,39.2,-3.8502752,91.3333333,,-3.7786725,91.3333333
271,1,39.2166667,-3.848714,91.3333333,,-3.7781136,91.3333333
272,1,39.2333333,-3.8471528,91.3333333,,-3.7775548,91.3333333
273,1,39.25,-3.8455915,91.3333333,,-3.7769959,91.3333333
274,1,39.2666667,-3.8440303,91.3333333,,-3.776437,91.3333333
275,1,39.2833333,-3.8424691,91.3333333,,-3.7758781,91.3333333
276,1,39.3,-3.8409078,91.3333333,,-3.7753192,91.3333333
277,1,39.3166667,-3.8393466,91.3333333,,-3.7747603,91.3333333
278,1,39.3333333,-3.8377854,91.3333333,,-3.7742014,91.3333333
279,1,39.35,-3.8362241,91.3333333,,-3.7736425,91.3333333
280,1,39.3666667,-3.8346629,91.3333333,,-3.7730836,91.3333333
281,1,39.3833333,-3.8331017,91.3333333,,-3.7725247,91.3333333
282,1,39.4,-3.8315404,91.3333333,,-3.7719658,91.3333333
283,1,39.4166667,-3.8299792,91.3333333,,-3.7714069,91.3333333
284,1,39.4333333,-3.828418,91.3333333,,-3.7708481,91.3333333
285,1,39.45,-3.8268567,91.3333333,,-3.7702892,91.3333333
286,1,39.4666667,-3.8252955,91.3333333,,-3.7697303,91.3333333
287,1,39.4833333,-3.8237343,91.3333333,,-3.7691714,91.3333333
288,1,39.5,-3.8221731,91.3333333,,-3.7686125,91.3333333
289,1,39.5166667,-3.8206118,91.3333333,,-3.7680536,91.3333333
290,1,39.5333333,-3.8190506,91.3333333,,-3.7674947,91.3333333
291,1,39.55,-3.8174894,91.3333333,,-3.7669358,91.3333333
292,1,39.5666667,-3.8159281,91.3333333,,-3.7663769,91.3333333
293,1,39.5833333,-3.8143669,91.3333333,,-3.7664567,91.3333333
294,1,39.6,-3.8128057,91.3333333,,-3.7665366,91.3333333
295,1,39.6166667,-3.8112444,91.3333333,,-3.7666164,91.3333333
296,1,39.6333333,-3.8096832,91.3333333,,-3.7666962,91.3333333
297,1,39.65,-3.808122,91.3333333,,-3.766776,91.3333333
298,1,39.6666667,-3.8065607,91.3333333,,-3.7668559,91.3333333
299,1,39.6833333,-3.8049995,91.3333333,,-3.7669357,91.3333333
300,1,39.7,-3.8034383,91.3333333,,-3.7670155,91.3333333
301,1,39.7166667,-3.801877,91.3333333,,-3.7670953,91.3333333
302,1,39.7333333,-3.8003158,91.3333333,,-3.7671752,91.3333333
303,1,39.75,-3.7987546,91.3333333,,-3.767255,91.3333333
304,1,39.7666667,-3.7971933,91.3333333,,-3.7673348,91.3333333
305,1,39.7833333,-3.7956321,91.3333333,,-3.7674146,91.3333333
306,1,39.8,-3.7940709,91.3333333,,-3.7674944,91.3333333
307,1,39.8166667,-3.7925097,91.3333333,,-3.7675743,91.3333333
308,1,39.8333333,-3.7907123,91.3333333,,-3.7677013,91.3333333
309,1,39.85,-3.7889149,91.3333333,,-3.7678284,91.3333333
310,1,39.8666667,-3.7871175,91.3333333,,-3.7679554,91.3333333
311,1,39.8833333,-3.7853201,91.3333333,,-3.7680825,91.3333333
312,1,39.9,-3.7835227,91.3333333,,-3.7682096,91.3333333
313,1,39.9166667,-3.7817253,91.3333333,,-3.7683366,91.3333333
314,1,39.9333333,-3.7799279,91.3333333,,-3.7684637,91.3333333
315,1,39.95,-3.7781305,91.3333333,,-3.7685907,91.3333333
316,1,39.9666667,-3.7763331,91.3333333,,-3.7687178,91.3333333
317,1,39.9833333,-3.7745357,91.3333333,,-3.7688448,91.3333333
318,1,40.0,-3.7727383,91.3333333,,-3.7689719,91.3333333
319,1,40.0166667,-3.7709409,91.3333333,,-3.769099,91.3333333
320,1,40.0333333,-3.7691435,91.3333333,,-3.769226,91.3333333
321,1,40.05,-3.7673461,91.3333333,,-3.7693531,91.3333333
322,1,40.0666667,-3.7655487,91.3333333,,-3.7694801,91.3333333
323,1,40.0833333,-3.7637513,91.3333333,,-3.7696072,91.3333333
324,1,40.1,-3.7619539,91.3333333,,-3.7697342,91.3333333
325,1,40.1166667,-3.7601565,91.3333333,,-3.7698613,91.3333333
326,1,40.1333333,-3.7583591,91.3333333,,-3.7699883,91.3333333
327,1,40.15,-3.7565617,91.3333333,,-3.7701154,91.3333333
328,1,40.1666667,-3.7547643,91.3333333,,-3.7702425,91.3333333
329,1,40.1833333,-3.7529669,91.3333333,,-3.7703695,91.3333333
330,1,40.2,-3.7511695,91.3333333,,-3.7704966,91.3333333
331,1,40.2166667,-3.7493721,91.3333333,,-3.7706236,91.3333333
332,1,40.2333333,-3.7475747,91.3333333,,-3.7707507,91.3333333
333,1,40.25,-3.7457773,91.3333333,,-3.7708777,91.3333333
334,1,40.2666667,-3.7439799,91.3333333,,-3.7710048,91.3333333
335,1,40.2833333,-3.7421825,91.3333333,,-3.7711319,91.3333333
336,1,40.3,-3.7403851,91.3333333,,-3.7712589,91.3333333
337,1,40.3166667,-3.7385877,91.3333333,,-3.771386,91.3333333
338,1,40.3333333,-3.7367903,91.3333333,,-3.771513,91.3333333
339,1,40.35,-3.7349929,91.3333333,,-3.7716401,91.3333333
340,1,40.3666667,-3.7331955,91.3333333,,-3.7717671,91.3333333
341,1,40.3833333,-3.7313981,91.3333333,,-3.7718942,91.3333333
342,1,40.4,-3.7296007,91.3333333,,-3.7720213,91.3333333
343,1,40.4166667,-3.7278033,91.3333333,,-3.7721483,91.3333333
344,1,40.4333333,-3.7260059,91.3333333,,-3.7722754,91.3333333
345,1,40.45,-3.7242085,91.3333333,,-3.7724024,91.3333333
