Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y,EA_raw
20,32.3666667,-3.944908,90.6666667,-5.5690301,90.6666667,15.6042727
21,32.3666667,-3.834908,89.6666667,-5.6497496,89.6666667,15.6626832
1,32.3833333,-8.8115578,107.6666667,-9.8006452,107.6666667,
2,32.3833333,-8.3558002,106.6666667,-9.6842816,106.6666667,
3,32.3833333,-8.133679,104.6666667,-9.3842816,104.6666667,
4,32.3833333,-7.7668608,103.6666667,-9.0664028,103.6666667,
5,32.3833333,-7.4947396,102.6666667,-8.8342816,102.6666667,
6,32.3833333,-7.203679,101.6666667,-8.583221,101.6666667,
7,32.3833333,-6.9126184,100.6666667,-8.3121603,100.6666667,
8,32.3833333,-6.6504972,99.6666667,-8.093221,99.6666667,
9,32.3833333,-6.3526184,98.6666667,-7.8321603,98.6666667,
10,32.3833333,-6.1404972,97.6666667,-7.5710997,97.6666667,
11,32.3833333,-6.0015578,94.6666667,-7.3221603,94.6666667,
12,32.3833333,-5.7215578,93.6666667,-7.1321603,93.6666667,
13,32.3833333,-5.4815578,93.6666667,-6.893221,93.6666667,
14,32.3833333,-5.2994366,94.6666667,-6.683221,94.6666667,
15,32.3833333,-5.068376,94.6666667,-6.3810997,94.6666667,
16,32.3833333,-4.8194366,93.6666667,-6.2321603,93.6666667,
17,32.3833333,-4.608376,92.6666667,-6.023221,92.6666667,
18,32.3833333,-4.3873154,91.6666667,-5.7921603,91.6666667,
19,32.3833333,-4.1773154,91.6666667,-5.7697578,91.6666667,15.2575894
20,32.3833333,-3.9462548,90.6666667,-5.5715576,90.6666667,15.6115355
21,32.3833333,-3.8362548,89.6666667,-5.6509482,89.6666667,15.6708506
1,32.4,-8.8136621,107.6666667,-9.8027529,107.6666667,
2,32.4,-8.3585106,106.6666667,-9.6854801,106.6666667,
3,32.4,-8.1360864,104.6666667,-9.3854801,104.6666667,
4,32.4,-7.7697227,103.6666667,-9.0679044,103.6666667,
5,32.4,-7.4972985,102.6666667,-8.8354801,102.6666667,
6,32.4,-7.2060864,101.6666667,-8.584268,101.6666667,
7,32.4,-6.9148742,100.6666667,-8.3130559,100.6666667,
8,32.4,-6.65245,99.6666667,-8.094268,99.6666667,
9,32.4,-6.3548742,98.6666667,-7.8330559,98.6666667,
10,32.4,-6.14245,97.6666667,-7.5718438,97.6666667,
11,32.4,-6.0036621,94.6666667,-7.3230559,94.6666667,
12,32.4,-5.7236621,93.6666667,-7.1330559,93.6666667,
13,32.4,-5.4836621,93.6666667,-6.894268,93.6666667,
14,32.4,-5.3012379,94.6666667,-6.684268,94.6666667,
15,32.4,-5.0700258,94.6666667,-6.3818438,94.6666667,
16,32.4,-4.8212379,93.6666667,-6.2330559,93.6666667,
17,32.4,-4.6100258,92.6666667,-6.024268,92.6666667,
18,32.4,-4.3888136,91.6666667,-5.7930559,91.6666667,
19,32.4,-4.1788136,91.6666667,-5.7690856,91.6666667,15.2656602
20,32.4,-3.9476015,90.6666667,-5.5740851,90.6666667,15.6187984
21,32.4,-3.8376015,89.6666667,-5.6521468,89.6666667,15.6790179
1,32.4166667,-8.8157664,107.6666667,-9.8048605,107.6666667,
2,32.4166667,-8.361221,106.6666667,-9.6866787,106.6666667,
3,32.4166667,-8.1384937,104.6666667,-9.3866787,104.6666667,
4,32.4166667,-7.7725846,103.6666667,-9.069406,103.6666667,
5,32.4166667,-7.4998573,102.6666667,-8.8366787,102.6666667,
6,32.4166667,-7.2084937,101.6666667,-8.5853151,101.6666667,
7,32.4166667,-6.9171301,100.6666667,-8.3139515,100.6666667,
8,32.4166667,-6.6544028,99.6666667,-8.0953151,99.6666667,
9,32.4166667,-6.3571301,98.6666667,-7.8339515,98.6666667,
10,32.4166667,-6.1444028,97.6666667,-7.5725878,97.6666667,
11,32.4166667,-6.0057664,94.6666667,-7.3239515,94.6666667,
12,32.4166667,-5.7257664,93.6666667,-7.1339515,93.6666667,
13,32.4166667,-5.4857664,93.6666667,-6.8953151,93.6666667,
14,32.4166667,-5.3030391,94.6666667,-6.6853151,94.6666667,
15,32.4166667,-5.0716755,94.6666667,-6.3825878,94.6666667,
16,32.4166667,-4.8230391,93.6666667,-6.2339515,93.6666667,
17,32.4166667,-4.6116755,92.6666667,-6.0253151,92.6666667,
18,32.4166667,-4.3903119,91.6666667,-5.7939515,91.6666667,
19,32.4166667,-4.1803119,91.6666667,-5.7684134,91.6666667,15.2737309
20,32.4166667,-3.9489482,90.6666667,-5.5766126,90.6666667,15.6260612
21,32.4166667,-3.8389482,89.6666667,-5.6533454,89.6666667,15.6871852
1,32.4333333,-8.8178707,107.6666667,-9.8069682,107.6666667,
2,32.4333333,-8.3639313,106.6666667,-9.6878773,106.6666667,
3,32.4333333,-8.140901,104.6666667,-9.3878773,104.6666667,
4,32.4333333,-7.7754465,103.6666667,-9.0709076,103.6666667,
5,32.4333333,-7.5024162,102.6666667,-8.8378773,102.6666667,
6,32.4333333,-7.210901,101.6666667,-8.5863622,101.6666667,
7,32.4333333,-6.9193859,100.6666667,-8.314847,100.6666667,
8,32.4333333,-6.6563556,99.6666667,-8.0963622,99.6666667,
9,32.4333333,-6.3593859,98.6666667,-7.834847,98.6666667,
10,32.4333333,-6.1463556,97.6666667,-7.5733319,97.6666667,
11,32.4333333,-6.0078707,94.6666667,-7.324847,94.6666667,
12,32.4333333,-5.7278707,93.6666667,-7.134847,93.6666667,
13,32.4333333,-5.4878707,93.6666667,-6.8963622,93.6666667,
14,32.4333333,-5.3048404,94.6666667,-6.6863622,94.6666667,
15,32.4333333,-5.0733253,94.6666667,-6.3833319,94.6666667,
16,32.4333333,-4.8248404,93.6666667,-6.234847,93.6666667,
17,32.4333333,-4.6133253,92.6666667,-6.0263622,92.6666667,
18,32.4333333,-4.3918101,91.6666667,-5.794847,91.6666667,
19,32.4333333,-4.1818101,91.6666667,-5.7677413,91.6666667,15.2818017
20,32.4333333,-3.950295,90.6666667,-5.5791402,90.6666667,15.633324
21,32.4333333,-3.840295,89.6666667,-5.654544,89.6666667,15.6953526
1,32.45,-8.819975,107.6666667,-9.8090759,107.6666667,
2,32.45,-8.3666417,106.6666667,-9.6890759,106.6666667,
3,32.45,-8.1433084,104.6666667,-9.3890759,104.6666667,
4,32.45,-7.7783084,103.6666667,-9.0724092,103.6666667,
5,32.45,-7.504975,102.6666667,-8.8390759,102.6666667,
6,32.45,-7.2133084,101.6666667,-8.5874092,101.6666667,
7,32.45,-6.9216417,100.6666667,-8.3157426,100.6666667,
8,32.45,-6.6583084,99.6666667,-8.0974092,99.6666667,
9,32.45,-6.3616417,98.6666667,-7.8357426,98.6666667,
10,32.45,-6.1483084,97.6666667,-7.5740759,97.6666667,
11,32.45,-6.009975,94.6666667,-7.3257426,94.6666667,
12,32.45,-5.729975,93.6666667,-7.1357426,93.6666667,
13,32.45,-5.489975,93.6666667,-6.8974092,93.6666667,
14,32.45,-5.3066417,94.6666667,-6.6874092,94.6666667,
15,32.45,-5.074975,94.6666667,-6.3840759,94.6666667,
16,32.45,-4.8266417,93.6666667,-6.2357426,93.6666667,
17,32.45,-4.614975,92.6666667,-6.0274092,92.6666667,
18,32.45,-4.3933084,91.6666667,-5.7957426,91.6666667,
19,32.45,-4.1833084,91.6666667,-5.7670691,91.6666667,15.2898724
20,32.45,-3.9516417,90.6666667,-5.5816677,90.6666667,15.6405869
21,32.45,-3.8416417,89.6666667,-5.6557426,89.6666667,15.7035199
1,32.4666667,-8.8220793,107.6666667,-9.8111836,107.6666667,
2,32.4666667,-8.3693521,106.6666667,-9.6902745,106.6666667,
3,32.4666667,-8.1457157,104.6666667,-9.3902745,104.6666667,
4,32.4666667,-7.7811703,103.6666667,-9.0739108,103.6666667,
5,32.4666667,-7.5075339,102.6666667,-8.8402745,102.6666667,
6,32.4666667,-7.2157157,101.6666667,-8.5884563,101.6666667,
7,32.4666667,-6.9238975,100.6666667,-8.3166381,100.6666667,
8,32.4666667,-6.6602612,99.6666667,-8.0984563,99.6666667,
9,32.4666667,-6.3638975,98.6666667,-7.8366381,98.6666667,
10,32.4666667,-6.1502612,97.6666667,-7.5748199,97.6666667,
11,32.4666667,-6.0120793,94.6666667,-7.3266381,94.6666667,
12,32.4666667,-5.7320793,93.6666667,-7.1366381,93.6666667,
13,32.4666667,-5.4920793,93.6666667,-6.8984563,93.6666667,
14,32.4666667,-5.308443,94.6666667,-6.6884563,94.6666667,
15,32.4666667,-5.0766248,94.6666667,-6.3848199,94.6666667,
16,32.4666667,-4.828443,93.6666667,-6.2366381,93.6666667,
17,32.4666667,-4.6166248,92.6666667,-6.0284563,92.6666667,
18,32.4666667,-4.3948066,91.6666667,-5.7966381,91.6666667,
19,32.4666667,-4.1848066,91.6666667,-5.7663969,91.6666667,15.2979431
20,32.4666667,-3.9529884,90.6666667,-5.5841952,90.6666667,15.6478497
21,32.4666667,-3.8429884,89.6666667,-5.6569411,89.6666667,15.7116873
1,32.4833333,-8.8241836,107.6666667,-9.8132912,107.6666667,
2,32.4833333,-8.3720624,106.6666667,-9.691473,106.6666667,
3,32.4833333,-8.148123,104.6666667,-9.391473,104.6666667,
4,32.4833333,-7.7840321,103.6666667,-9.0754124,103.6666667,
5,32.4833333,-7.5100927,102.6666667,-8.841473,102.6666667,
6,32.4833333,-7.218123,101.6666667,-8.5895034,101.6666667,
7,32.4833333,-6.9261533,100.6666667,-8.3175337,100.6666667,
8,32.4833333,-6.662214,99.6666667,-8.0995034,99.6666667,
9,32.4833333,-6.3661533,98.6666667,-7.8375337,98.6666667,
10,32.4833333,-6.152214,97.6666667,-7.575564,97.6666667,
11,32.4833333,-6.0141836,94.6666667,-7.3275337,94.6666667,
12,32.4833333,-5.7341836,93.6666667,-7.1375337,93.6666667,
13,32.4833333,-5.4941836,93.6666667,-6.8995034,93.6666667,
14,32.4833333,-5.3102443,94.6666667,-6.6895034,94.6666667,
15,32.4833333,-5.0782746,94.6666667,-6.385564,94.6666667,
16,32.4833333,-4.8302443,93.6666667,-6.2375337,93.6666667,
17,32.4833333,-4.6182746,92.6666667,-6.0295034,92.6666667,
18,32.4833333,-4.3963049,91.6666667,-5.7975337,91.6666667,
19,32.4833333,-4.1863049,91.6666667,-5.7657248,91.6666667,15.3060139
20,32.4833333,-3.9543352,90.6666667,-5.5867227,90.6666667,15.6551125
21,32.4833333,-3.8443352,89.6666667,-5.6581397,89.6666667,15.7198546
1,32.5,-8.826288,107.6666667,-9.8153989,107.6666667,
2,32.5,-8.3747728,106.6666667,-9.6926716,106.6666667,
3,32.5,-8.1505304,104.6666667,-9.3926716,104.6666667,
4,32.5,-7.786894,103.6666667,-9.0769141,103.6666667,
5,32.5,-7.5126516,102.6666667,-8.8426716,102.6666667,
6,32.5,-7.2205304,101.6666667,-8.5905504,101.6666667,
7,32.5,-6.9284092,100.6666667,-8.3184292,100.6666667,
8,32.5,-6.6641667,99.6666667,-8.1005504,99.6666667,
9,32.5,-6.3684092,98.6666667,-7.8384292,98.6666667,
10,32.5,-6.1541667,97.6666667,-7.576308,97.6666667,
11,32.5,-6.016288,94.6666667,-7.3284292,94.6666667,
12,32.5,-5.736288,93.6666667,-7.1384292,93.6666667,
13,32.5,-5.496288,93.6666667,-6.9005504,93.6666667,
14,32.5,-5.3120455,94.6666667,-6.6905504,94.6666667,
15,32.5,-5.0799243,94.6666667,-6.386308,94.6666667,
16,32.5,-4.8320455,93.6666667,-6.2384292,93.6666667,
17,32.5,-4.6199243,92.6666667,-6.0305504,92.6666667,
18,32.5,-4.3978031,91.6666667,-5.7984292,91.6666667,
19,32.5,-4.1878031,91.6666667,-5.7650526,91.6666667,15.3140846
20,32.5,-3.9556819,90.6666667,-5.5892502,90.6666667,15.6623754
21,32.5,-3.8456819,89.6666667,-5.6593383,89.6666667,15.7280219
1,32.5166667,-8.8283923,107.6666667,-9.8175066,107.6666667,
2,32.5166667,-8.3774832,106.6666667,-9.6938702,106.6666667,
3,32.5166667,-8.1529377,104.6666667,-9.3938702,104.6666667,
4,32.5166667,-7.7897559,103.6666667,-9.0784157,103.6666667,
5,32.5166667,-7.5152104,102.6666667,-8.8438702,102.6666667,
6,32.5166667,-7.2229377,101.6666667,-8.5915975,101.6666667,
7,32.5166667,-6.930665,100.6666667,-8.3193248,100.6666667,
8,32.5166667,-6.6661195,99.6666667,-8.1015975,99.6666667,
9,32.5166667,-6.370665,98.6666667,-7.8393248,98.6666667,
10,32.5166667,-6.1561195,97.6666667,-7.577052,97.6666667,
11,32.5166667,-6.0183923,94.6666667,-7.3293248,94.6666667,
12,32.5166667,-5.7383923,93.6666667,-7.1393248,93.6666667,
13,32.5166667,-5.4983923,93.6666667,-6.9015975,93.6666667,
14,32.5166667,-5.3138468,94.6666667,-6.6915975,94.6666667,
15,32.5166667,-5.0815741,94.6666667,-6.387052,94.6666667,
16,32.5166667,-4.8338468,93.6666667,-6.2393248,93.6666667,
17,32.5166667,-4.6215741,92.6666667,-6.0315975,92.6666667,
18,32.5166667,-4.3993014,91.6666667,-5.7993248,91.6666667,
19,32.5166667,-4.1893014,91.6666667,-5.7643804,91.6666667,15.3221554
20,32.5166667,-3.9570286,90.6666667,-5.5917777,90.6666667,15.6696382
21,32.5166667,-3.8470286,89.6666667,-5.6605369,89.6666667,15.7361893
1,32.5333333,-8.8304966,107.6666667,-9.8196142,107.6666667,
2,32.5333333,-8.3801935,106.6666667,-9.6950688,106.6666667,
3,32.5333333,-8.1553451,104.6666667,-9.3950688,104.6666667,
4,32.5333333,-7.7926178,103.6666667,-9.0799173,103.6666667,
5,32.5333333,-7.5177693,102.6666667,-8.8450688,102.6666667,
6,32.5333333,-7.2253451,101.6666667,-8.5926446,101.6666667,
7,32.5333333,-6.9329208,100.6666667,-8.3202203,100.6666667,
8,32.5333333,-6.6680723,99.6666667,-8.1026446,99.6666667,
9,32.5333333,-6.3729208,98.6666667,-7.8402203,98.6666667,
10,32.5333333,-6.1580723,97.6666667,-7.5777961,97.6666667,
11,32.5333333,-6.0204966,94.6666667,-7.3302203,94.6666667,
12,32.5333333,-5.7404966,93.6666667,-7.1402203,93.6666667,
13,32.5333333,-5.5004966,93.6666667,-6.9026446,93.6666667,
14,32.5333333,-5.3156481,94.6666667,-6.6926446,94.6666667,
15,32.5333333,-5.0832238,94.6666667,-6.3877961,94.6666667,
16,32.5333333,-4.8356481,93.6666667,-6.2402203,93.6666667,
17,32.5333333,-4.6232238,92.6666667,-6.0326446,92.6666667,
18,32.5333333,-4.4007996,91.6666667,-5.8002203,91.6666667,
19,32.5333333,-4.1907996,91.6666667,-5.7637083,91.6666667,15.3302261
20,32.5333333,-3.9583754,90.6666667,-5.5943052,90.6666667,15.676901
21,32.5333333,-3.8483754,89.6666667,-5.6617355,89.6666667,15.7443566
1,32.55,-8.8326009,107.6666667,-9.8217219,107.6666667,
2,32.55,-8.3829039,106.6666667,-9.6962674,106.6666667,
3,32.55,-8.1577524,104.6666667,-9.3962674,104.6666667,
4,32.55,-7.7954797,103.6666667,-9.0814189,103.6666667,
5,32.55,-7.5203281,102.6666667,-8.8462674,102.6666667,
6,32.55,-7.2277524,101.6666667,-8.5936916,101.6666667,
7,32.55,-6.9351766,100.6666667,-8.3211159,100.6666667,
8,32.55,-6.6700251,99.6666667,-8.1036916,99.6666667,
9,32.55,-6.3751766,98.6666667,-7.8411159,98.6666667,
10,32.55,-6.1600251,97.6666667,-7.5785401,97.6666667,
11,32.55,-6.0226009,94.6666667,-7.3311159,94.6666667,
12,32.55,-5.7426009,93.6666667,-7.1411159,93.6666667,
13,32.55,-5.5026009,93.6666667,-6.9036916,93.6666667,
14,32.55,-5.3174494,94.6666667,-6.6936916,94.6666667,
15,32.55,-5.0848736,94.6666667,-6.3885401,94.6666667,
16,32.55,-4.8374494,93.6666667,-6.2411159,93.6666667,
17,32.55,-4.6248736,92.6666667,-6.0336916,92.6666667,
18,32.55,-4.4022978,91.6666667,-5.8011159,91.6666667,
19,32.55,-4.1922978,91.6666667,-5.7630361,91.6666667,15.3382968
20,32.55,-3.9597221,90.6666667,-5.5968327,90.6666667,15.6841639
21,32.55,-3.8497221,89.6666667,-5.662934,89.6666667,15.7525239
1,32.5666667,-8.8347052,107.6666667,-9.8238296,107.6666667,
2,32.5666667,-8.3856143,106.6666667,-9.697466,106.6666667,
3,32.5666667,-8.1601597,104.6666667,-9.397466,104.6666667,
4,32.5666667,-7.7983415,103.6666667,-9.0829205,103.6666667,
5,32.5666667,-7.522887,102.6666667,-8.847466,102.6666667,
6,32.5666667,-7.2301597,101.6666667,-8.5947387,101.6666667,
7,32.5666667,-6.9374325,100.6666667,-8.3220114,100.6666667,
8,32.5666667,-6.6719779,99.6666667,-8.1047387,99.6666667,
9,32.5666667,-6.3774325,98.6666667,-7.8420114,98.6666667,
10,32.5666667,-6.1619779,97.6666667,-7.5792841,97.6666667,
11,32.5666667,-6.0247052,94.6666667,-7.3320114,94.6666667,
12,32.5666667,-5.7447052,93.6666667,-7.1420114,93.6666667,
13,32.5666667,-5.5047052,93.6666667,-6.9047387,93.6666667,
14,32.5666667,-5.3192506,94.6666667,-6.6947387,94.6666667,
15,32.5666667,-5.0865234,94.6666667,-6.3892841,94.6666667,
16,32.5666667,-4.8392506,93.6666667,-6.2420114,93.6666667,
17,32.5666667,-4.6265234,92.6666667,-6.0347387,92.6666667,
18,32.5666667,-4.4037961,91.6666667,-5.8020114,91.6666667,
19,32.5666667,-4.1937961,91.6666667,-5.7623639,91.6666667,15.3463676
