Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
5,34.8,-3.0950981,90.3333333,,-2.9513298,90.3333333
6,34.8,-2.8550981,90.3333333,,-2.6713298,90.3333333
7,34.8,-2.6535191,90.3333333,,-2.3329087,90.3333333
8,34.8,-2.3719402,90.3333333,,-2.0613298,90.3333333
9,34.8,-2.1719402,89.3333333,,-1.7397508,89.3333333
10,34.8,-1.9935191,89.3333333,,-1.3981719,89.3333333
11,34.8,-1.7935191,88.3333333,,-1.1065929,88.3333333
12,34.8,-1.686677,87.3333333,,-0.8665929,87.3333333
13,34.8,-1.506677,85.3333333,,-0.6465929,85.3333333
14,34.8,-1.1836633,84.3333333,18.4724616,-0.405014,84.3333333
15,34.8,-1.1589299,83.3333333,18.9488506,-0.185014,83.3333333
16,34.8,-0.8373515,82.3333333,19.0243861,0.0534071,82.3333333
17,34.8,-0.3692715,82.3333333,19.5036808,0.244986,82.3333333
18,34.8,-0.0234299,81.3333333,19.5856817,0.454986,81.3333333
19,34.8,0.1631388,80.3333333,20.0321377,0.674986,80.3333333
20,34.8,0.2034532,80.3333333,20.0103849,0.8565649,80.3333333
21,34.8,0.1112454,79.3333333,20.2164799,1.054986,79.3333333
1,34.8166667,-4.3049858,91.3333333,,-4.0402,91.3333333
2,34.8166667,-4.0031437,91.3333333,,-3.7620421,91.3333333
3,34.8166667,-3.6631437,90.3333333,,-3.4857263,90.3333333
4,34.8166667,-3.3613016,90.3333333,,-3.2275684,90.3333333
5,34.8166667,-3.0931437,90.3333333,,-2.9512526,90.3333333
6,34.8166667,-2.8531437,90.3333333,,-2.6712526,90.3333333
7,34.8166667,-2.6513016,90.3333333,,-2.3330947,90.3333333
8,34.8166667,-2.3694595,90.3333333,,-2.0612526,90.3333333
9,34.8166667,-2.1694595,89.3333333,,-1.7394105,89.3333333
10,34.8166667,-1.9913016,89.3333333,,-1.3975684,89.3333333
11,34.8166667,-1.7913016,88.3333333,,-1.1057263,88.3333333
12,34.8166667,-1.6849858,87.3333333,,-0.8657263,87.3333333
