EA_raw,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
,19,48.9,-7.1610155,77.9166667,-0.7215486,77.9166667
,20,48.9,-6.8910155,76.9166667,-0.4296968,76.9166667
,21,48.9,-6.5428674,75.9166667,-0.1615486,75.9166667
29.9881518,1,48.9166667,-13.4743313,90.9166667,-6.3446688,90.9166667
30.1137677,2,48.9166667,-13.2917033,89.9166667,-5.9746688,89.9166667
30.357684,3,48.9166667,-12.7038881,88.9166667,-5.5946688,88.9166667
30.8556812,4,48.9166667,-12.5866113,88.9166667,-5.2446688,88.9166667
31.1724775,5,48.9166667,-12.211719,87.9166667,-4.8861502,87.9166667
31.5496293,6,48.9166667,-11.8185771,86.9166667,-4.5361502,86.9166667
31.9632114,7,48.9166667,-11.3633264,86.9166667,-4.1961502,86.9166667
32.4221757,8,48.9166667,-10.9197882,85.9166667,-3.8576317,85.9166667
32.5778948,9,48.9166667,-10.809916,84.9166667,-3.5276317,84.9166667
33.0334644,10,48.9166667,-10.6771134,84.9166667,-3.2176317,84.9166667
,11,48.9166667,-9.7137313,83.9166667,-3.0491132,83.9166667
,12,48.9166667,-9.4137313,82.9166667,-2.7491132,82.9166667
,13,48.9166667,-9.1122498,80.9166667,-2.4376317,80.9166667
,14,48.9166667,-8.7922498,79.9166667,-2.1591132,79.9166667
,15,48.9166667,-8.4937313,78.9166667,-1.8591132,78.9166667
,16,48.9166667,-8.0937313,78.9166667,-1.5591132,78.9166667
,17,48.9166667,-7.8237313,77.9166667,-1.2791132,77.9166667
,18,48.9166667,-7.4752128,78.9166667,-0.9905947,78.9166667
,19,48.9166667,-7.1652128,77.9166667,-0.7205947,77.9166667
,20,48.9166667,-6.8952128,76.9166667,-0.4291132,76.9166667
,21,48.9166667,-6.5466942,75.9166667,-0.1605947,75.9166667
29.9972278,1,48.9333333,-13.4805189,90.9166667,-6.3451963,90.9166667
30.1229487,2,48.9333333,-13.2969003,89.9166667,-5.9751963,89.9166667
30.3673799,3,48.9333333,-12.7104592,88.9166667,-5.5951963,88.9166667
30.8652709,4,48.9333333,-12.5920589,88.9166667,-5.2451963,88.9166667
31.1819716,5,48.9333333,-12.2168615,87.9166667,-4.8863074,87.9166667
31.5590609,6,48.9333333,-11.8232328,86.9166667,-4.5363074,86.9166667
31.9732662,7,48.9333333,-11.3690276,86.9166667,-4.1963074,86.9166667
